sample_index,timestamp_utc,target_type,target_id,transform_chain,handeye_sha256,euler_convention,handeye_method,image_width,image_height,camera_info_width,camera_info_height,fx,fy,cx,cy,distortion_coefficients,detected_markers,detected_charuco_corners,reprojection_median_px,reprojection_max_px,flange_x_mm,flange_y_mm,flange_z_mm,flange_a_deg,flange_b_deg,flange_c_deg,tcp_x_mm,tcp_y_mm,tcp_z_mm,tcp_a_deg,tcp_b_deg,tcp_c_deg,tool_num,camera_base_rx_deg,camera_base_ry_deg,camera_base_rz_deg,target_camera_x_mm,target_camera_y_mm,target_camera_z_mm,target_base_x_mm,target_base_y_mm,target_base_z_mm,frame_jitter_median_mm,frame_jitter_max_mm,T_base_flange,T_flange_camera,T_camera_board,T_base_board
1,2026-08-12T01:41:47.244136+00:00,charuco_marker_center_from_full_board_pose,8,T_base_target=T_base_flange@T_flange_camera@T_camera_board@p_board_target,f08dc2dd9a40523e3f0c69e9285d88c774d69553659c3d9be891da727877c558,xyz,DANIILIDIS,1920,1080,1920,1080,1358.391845703125,1356.906982421875,966.632568359375,569.7604370117188,"[0.0,0.0,0.0,0.0,0.0]",17,24,0.3465999364852905,0.6925186514854431,-235.50624084472656,13.099318504333496,578.3515625,179.99990844726562,0.0002953561197500676,89.99913024902344,-237.5054473876953,11.098210334777832,421.3529357910156,179.99990844726562,0.0002953564398922026,89.99934387207031,1,-178.17515647522623,0.1865905368569345,90.9325080273306,-6.856827707517617,19.388417735927476,532.9556724626987,-315.99659864054854,-27.402473180807227,-14.707516459174098,0.01083903951536025,0.041744769167531,"[[1.5180018e-05,0.999999999884,1.597818e-06,-0.235506240845],[0.999999999871,-1.518001e-05,-5.154961e-06,0.013099318504],[-5.154937e-06,1.597897e-06,-0.999999999985,0.5783515625],[0.0,0.0,0.0,1.0]]","[[0.999862026478,0.016178003205,-0.003768317958,-0.031948836393],[-0.016289711216,0.999361913153,-0.031786976061,-0.08303779075],[0.003251663643,0.031843975111,0.99948756267,0.059782630135],[0.0,0.0,0.0,1.0]]","[[0.002082110112,0.999995946052,-0.001942343372,-0.124628142476],[-0.999410555244,0.002147441399,0.034262670109,0.103086701865],[0.034266702278,0.001869859816,0.999410974894,0.529855598708],[0.0,0.0,0.0,1.0]]","[[-0.999896208127,-0.014187824648,0.002505714584,-0.230336894055],[-0.014200606257,0.999885856901,-0.005159065007,-0.143792523823],[-0.002432232664,-0.005194112204,-0.999983552586,-0.013891773101],[0.0,0.0,0.0,1.0]]"
2,2026-08-12T01:42:05.990420+00:00,charuco_marker_center_from_full_board_pose,8,T_base_target=T_base_flange@T_flange_camera@T_camera_board@p_board_target,f08dc2dd9a40523e3f0c69e9285d88c774d69553659c3d9be891da727877c558,xyz,DANIILIDIS,1920,1080,1920,1080,1358.391845703125,1356.906982421875,966.632568359375,569.7604370117188,"[0.0,0.0,0.0,0.0,0.0]",17,24,0.3912162631750107,0.9352735280990601,-262.7904052734375,13.099575996398926,576.3150634765625,170.0028076171875,-1.5036481272545643e-05,89.9989013671875,-237.50531005859375,11.097339630126953,421.3516540527344,170.00289916992188,0.0001812307455111295,89.99908447265625,1,171.82870503022076,0.34581515293553566,90.8859545995928,-6.066054450778173,-54.97956010986164,514.8623311376949,-315.2928718479312,-27.745849008300752,-14.379169146969872,0.013628928971736693,0.050593309550060965,"[[1.917476e-05,0.984816260784,0.17359991972,-0.262790405273],[0.999999999816,-1.8929174e-05,-3.070285e-06,0.013099575996],[2.62436e-07,0.173599919747,-0.984816260966,0.576315063477],[0.0,0.0,0.0,1.0]]","[[0.999862026478,0.016178003205,-0.003768317958,-0.031948836393],[-0.016289711216,0.999361913153,-0.031786976061,-0.08303779075],[0.003251663643,0.031843975111,0.99948756267,0.059782630135],[0.0,0.0,0.0,1.0]]","[[0.002597795388,0.99999641644,-0.000646967018,-0.123885592979],[-0.988508231324,0.00247016394,-0.151146865313,0.027767983257],[-0.151144725555,0.001032180853,0.988511105926,0.527436175657],[0.0,0.0,0.0,1.0]]","[[-0.999876623294,-0.012867112068,-0.009009751228,-0.229787304963],[-0.012805920986,0.999894764813,-0.0068167212,-0.144256554977],[0.009096514601,-0.006700502013,-0.999936176311,-0.014353613371],[0.0,0.0,0.0,1.0]]"
3,2026-08-12T01:42:17.864469+00:00,charuco_marker_center_from_full_board_pose,8,T_base_target=T_base_flange@T_flange_camera@T_camera_board@p_board_target,f08dc2dd9a40523e3f0c69e9285d88c774d69553659c3d9be891da727877c558,xyz,DANIILIDIS,1920,1080,1920,1080,1358.391845703125,1356.906982421875,966.632568359375,569.7604370117188,"[0.0,0.0,0.0,0.0,0.0]",17,24,0.34986621141433716,0.690406858921051,-235.50514221191406,13.097726821899414,578.3546752929688,179.99989318847656,-0.00019075303862337023,89.99934387207031,-237.5048828125,11.098272323608398,421.3546447753906,179.99989318847656,-0.00019075303862337023,89.99934387207031,1,-178.1751246980985,0.18592895508613197,90.93272218962743,-6.868361590615018,19.341261769204817,532.9743068490453,-316.04441867219913,-27.41003198471006,-14.722587169198865,0.01182228258565305,0.03408053184434858,"[[1.1451593e-05,0.999999999933,1.864251e-06,-0.235505142212],[0.999999999929,-1.1451599e-05,3.329247e-06,0.013097726822],[3.329269e-06,1.864213e-06,-0.999999999993,0.578354675293],[0.0,0.0,0.0,1.0]]","[[0.999862026478,0.016178003205,-0.003768317958,-0.031948836393],[-0.016289711216,0.999361913153,-0.031786976061,-0.08303779075],[0.003251663643,0.031843975111,0.99948756267,0.059782630135],[0.0,0.0,0.0,1.0]]","[[0.002118348837,0.99999561073,-0.002071501594,-0.124646285138],[-0.999406172867,0.002188334652,0.034387684228,0.103031252374],[0.03439206643,0.001997426369,0.99940642186,0.529848265548],[0.0,0.0,0.0,1.0]]","[[-0.999896349567,-0.014154733359,0.002633181798,-0.230389938388],[-0.014168481027,0.999885693619,-0.005277673827,-0.143808080503],[-0.002558176742,-0.00531443498,-0.999982606105,-0.013880836048],[0.0,0.0,0.0,1.0]]"
4,2026-08-12T01:42:32.742334+00:00,charuco_marker_center_from_full_board_pose,8,T_base_target=T_base_flange@T_flange_camera@T_camera_board@p_board_target,f08dc2dd9a40523e3f0c69e9285d88c774d69553659c3d9be891da727877c558,xyz,DANIILIDIS,1920,1080,1920,1080,1358.391845703125,1356.906982421875,966.632568359375,569.7604370117188,"[0.0,0.0,0.0,0.0,0.0]",17,24,0.7774146199226379,1.6802903413772583,-208.28134155273438,13.09868335723877,575.6235961914062,-170.00296020507812,0.00023288163356482983,89.99909973144531,-237.507080078125,11.09825611114502,421.355224609375,-170.00265502929688,0.00027920069987885654,89.99913024902344,1,-168.17927125569784,0.021728092425073765,90.95066184797855,-7.541469117091568,95.56755814761392,535.3450725059374,-316.43168590380753,-26.862788968116202,-12.40260783085466,0.012490162487937884,0.03925755292843281,"[[1.571265e-05,0.984816723155,-0.173597297064,-0.208281341553],[0.999999999868,-1.6179676e-05,-1.275164e-06,0.013098683357],[-4.064551e-06,-0.173597297021,-0.984816723279,0.575623596191],[0.0,0.0,0.0,1.0]]","[[0.999862026478,0.016178003205,-0.003768317958,-0.031948836393],[-0.016289711216,0.999361913153,-0.031786976061,-0.08303779075],[0.003251663643,0.031843975111,0.99948756267,0.059782630135],[0.0,0.0,0.0,1.0]]","[[0.001101086503,0.999986069148,-0.005162278396,-0.125232869871],[-0.976663493672,0.002184093866,0.214764172669,0.17734763365],[0.214772455722,0.004805334922,0.976652292794,0.516739113483],[0.0,0.0,0.0,1.0]]","[[-0.999828436927,-0.015437625755,0.010236035479,-0.230630817283],[-0.01549319276,0.999865544019,-0.005371672154,-0.143145883585],[-0.010151733318,-0.005529339444,-0.999933182126,-0.010898915256],[0.0,0.0,0.0,1.0]]"
5,2026-08-12T01:42:42.214338+00:00,charuco_marker_center_from_full_board_pose,8,T_base_target=T_base_flange@T_flange_camera@T_camera_board@p_board_target,f08dc2dd9a40523e3f0c69e9285d88c774d69553659c3d9be891da727877c558,xyz,DANIILIDIS,1920,1080,1920,1080,1358.391845703125,1356.906982421875,966.632568359375,569.7604370117188,"[0.0,0.0,0.0,0.0,0.0]",17,24,0.3553420156240463,0.7204567790031433,-235.5054168701172,13.098861694335938,578.35107421875,-179.99989318847656,0.00019075264572165906,89.99913024902344,-237.50599670410156,11.098515510559082,421.352783203125,-179.9997100830078,8.614916441729292e-05,89.99913024902344,1,-178.1750465699712,0.18649591887911376,90.93239787468224,-6.8735000348085356,19.444187747464024,532.9623784100193,-315.9420062497361,-27.4171410353296,-14.71727495465486,0.009891201678979958,0.03525869513614294,"[[1.5180018e-05,0.999999999883,-1.864263e-06,-0.23550541687],[0.999999999879,-1.5180024e-05,-3.329233e-06,0.013098861694],[-3.329262e-06,-1.864213e-06,-0.999999999993,0.578351074219],[0.0,0.0,0.0,1.0]]","[[0.999862026478,0.016178003205,-0.003768317958,-0.031948836393],[-0.016289711216,0.999361913153,-0.031786976061,-0.08303779075],[0.003251663643,0.031843975111,0.99948756267,0.059782630135],[0.0,0.0,0.0,1.0]]","[[0.002138761636,0.99999466387,-0.002469398919,-0.124653069653],[-0.999419140384,0.002221506954,0.034006569088,0.103134571283],[0.034011873411,0.0023952326,0.999418558627,0.52982435227],[0.0,0.0,0.0,1.0]]","[[-0.999897617454,-0.014130504457,0.002254651413,-0.230288882629],[-0.014143135842,0.999883800212,-0.005688390152,-0.143815931567],[-0.002174009601,-0.005719695601,-0.999981279207,-0.013862778599],[0.0,0.0,0.0,1.0]]"
