[INFO] [1787220530.311107771] [tray_section_viewer]: Tray registration reference: /home/juchan-yoon/FR5_robot_control/vision_assembly/data/tray_reference_no_tape.jpg
[INFO] [1787220530.311461888] [tray_section_viewer]: Reference features: 117; no robot commands are sent
[INFO] [1787220609.282056023] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=16, inliers=8
[INFO] [1787220609.815065453] [tray_section_viewer]: Tray state=TRACKING, matches=26, inliers=13
[INFO] [1787220610.082882303] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=27, inliers=10
[INFO] [1787220610.147097070] [tray_section_viewer]: Tray state=TRACKING, matches=30, inliers=15
[INFO] [1787220610.215373353] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=31, inliers=12
[INFO] [1787220610.279987121] [tray_section_viewer]: Tray state=TRACKING, matches=26, inliers=13
[INFO] [1787220610.416800455] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=27, inliers=10
[INFO] [1787220610.486085826] [tray_section_viewer]: Tray state=TRACKING, matches=31, inliers=17
[INFO] [1787220610.618183838] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=28, inliers=13
[INFO] [1787220610.682542972] [tray_section_viewer]: Tray state=TRACKING, matches=31, inliers=12
[INFO] [1787220610.817253389] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=30, inliers=12
[INFO] [1787220610.951136571] [tray_section_viewer]: Tray state=TRACKING, matches=32, inliers=14
[INFO] [1787220611.217901385] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=29, inliers=14
[INFO] [1787220611.282300167] [tray_section_viewer]: Tray state=TRACKING, matches=34, inliers=16
[INFO] [1787220611.618099134] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=25, inliers=13
[INFO] [1787220611.681996148] [tray_section_viewer]: Tray state=TRACKING, matches=28, inliers=15
[INFO] [1787220611.816086092] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=28, inliers=16
[INFO] [1787220612.085409938] [tray_section_viewer]: Tray state=TRACKING, matches=23, inliers=11
[INFO] [1787220612.216768016] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=15, inliers=8
[INFO] [1787220612.285150482] [tray_section_viewer]: Tray state=TRACKING, matches=25, inliers=11
[INFO] [1787220612.485033793] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=17, inliers=7
[INFO] [1787220612.886813940] [tray_section_viewer]: Tray state=TRACKING, matches=22, inliers=12
[INFO] [1787220613.018783010] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=30, inliers=10
[INFO] [1787220613.084626349] [tray_section_viewer]: Tray state=TRACKING, matches=31, inliers=20
[INFO] [1787220617.089185011] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=22, inliers=14
[INFO] [1787220617.154892788] [tray_section_viewer]: Tray state=TRACKING, matches=23, inliers=12
[INFO] [1787220617.220967522] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=25, inliers=9
[INFO] [1787220617.286102913] [tray_section_viewer]: Tray state=TRACKING, matches=23, inliers=13
[INFO] [1787220618.419873418] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=10, inliers=0
[INFO] [1787220618.955259060] [tray_section_viewer]: Tray state=TRACKING, matches=25, inliers=10
[INFO] [1787220619.093366235] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=27, inliers=9
[INFO] [1787220619.292837918] [tray_section_viewer]: Tray state=TRACKING, matches=22, inliers=10
[INFO] [1787220619.623001842] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=18, inliers=9
[INFO] [1787220619.691921768] [tray_section_viewer]: Tray state=TRACKING, matches=22, inliers=10
[INFO] [1787220619.756242603] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=15, inliers=8
[INFO] [1787220619.890469583] [tray_section_viewer]: Tray state=TRACKING, matches=26, inliers=11
[INFO] [1787220619.956505427] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=19, inliers=7
[INFO] [1787220620.089660084] [tray_section_viewer]: Tray state=TRACKING, matches=31, inliers=13
[INFO] [1787220620.489270954] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=18, inliers=9
[INFO] [1787220620.556297115] [tray_section_viewer]: Tray state=TRACKING, matches=30, inliers=19
[INFO] [1787220627.026012301] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=9, inliers=0
[INFO] [1787220627.293104546] [tray_section_viewer]: Tray state=TRACKING, matches=27, inliers=14
[INFO] [1787220638.305682057] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=13, inliers=0
[INFO] [1787220657.182084001] [tray_section_viewer]: Tray state=TRACKING, matches=14, inliers=10
[INFO] [1787220657.318682244] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=15, inliers=7
[INFO] [1787220657.386110935] [tray_section_viewer]: Tray state=TRACKING, matches=15, inliers=10
[INFO] [1787220657.517868011] [tray_section_viewer]: Tray state=NOT_REGISTERED, matches=14, inliers=9
